County,County Code,Year,Year Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,CTYNAME,STNAME
"Lane County, OR",41039.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,Lane County,OR
"Lane County, OR",41039.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,21.0,Lane County,OR
"Linn County, OR",41043.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Linn County,OR
"Marion County, OR",41047.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,Marion County,OR
"Marion County, OR",41047.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,Marion County,OR
"Multnomah County, OR",41051.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,87.0,Multnomah County,OR
"Multnomah County, OR",41051.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,Multnomah County,OR
"Multnomah County, OR",41051.0,2010.0,2010.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,17.0,Multnomah County,OR
"Washington County, OR",41067.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Washington County,OR
"Washington County, OR",41067.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Washington County,OR
"Aiken County, SC",45003.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,Aiken County,SC
"Anderson County, SC",45007.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,Anderson County,SC
"Beaufort County, SC",45013.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Beaufort County,SC
"Berkeley County, SC",45015.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Berkeley County,SC
"Charleston County, SC",45019.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,54.0,Charleston County,SC
"Florence County, SC",45041.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Florence County,SC
"Greenville County, SC",45045.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,Greenville County,SC
"Greenville County, SC",45045.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,Greenville County,SC
"Horry County, SC",45051.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,39.0,Horry County,SC
"Lancaster County, SC",45057.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Lancaster County,SC
"Laurens County, SC",45059.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Laurens County,SC
"Lexington County, SC",45063.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0,Lexington County,SC
"Oconee County, SC",45073.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Oconee County,SC
"Pickens County, SC",45077.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0,Pickens County,SC
"Richland County, SC",45079.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,Richland County,SC
"Spartanburg County, SC",45083.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,Spartanburg County,SC
"York County, SC",45091.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,York County,SC
"Bell County, TX",48027.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Bell County,TX
"Bexar County, TX",48029.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,168.0,Bexar County,TX
"Bexar County, TX",48029.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,Bexar County,TX
"Brazoria County, TX",48039.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,Brazoria County,TX
"Brazos County, TX",48041.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Brazos County,TX
"Cameron County, TX",48061.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Cameron County,TX
"Collin County, TX",48085.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,Collin County,TX
"Collin County, TX",48085.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,Collin County,TX
"Comal County, TX",48091.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,Comal County,TX
"Dallas County, TX",48113.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,163.0,Dallas County,TX
"Dallas County, TX",48113.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,36.0,Dallas County,TX
"Dallas County, TX",48113.0,2010.0,2010.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,14.0,Dallas County,TX
"Denton County, TX",48121.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,Denton County,TX
"Ector County, TX",48135.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Ector County,TX
"Ellis County, TX",48139.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Ellis County,TX
"El Paso County, TX",48141.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0,El Paso County,TX
"Fort Bend County, TX",48157.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0,Fort Bend County,TX
"Galveston County, TX",48167.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0,Galveston County,TX
"Grayson County, TX",48181.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Grayson County,TX
"Guadalupe County, TX",48187.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Guadalupe County,TX
"Hardin County, TX",48199.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Hardin County,TX
"Harris County, TX",48201.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,375.0,Harris County,TX
"Harris County, TX",48201.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,70.0,Harris County,TX
"Hays County, TX",48209.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Hays County,TX
"Henderson County, TX",48213.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Henderson County,TX
"Hidalgo County, TX",48215.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Hidalgo County,TX
"Hopkins County, TX",48223.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Hopkins County,TX
"Jefferson County, TX",48245.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,Jefferson County,TX
"Johnson County, TX",48251.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Johnson County,TX
"Liberty County, TX",48291.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Liberty County,TX
"Lubbock County, TX",48303.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Lubbock County,TX
"McLennan County, TX",48309.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,McLennan County,TX
"Midland County, TX",48329.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Midland County,TX
"Montgomery County, TX",48339.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0,Montgomery County,TX
"Nueces County, TX",48355.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,Nueces County,TX
"Orange County, TX",48361.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0,Orange County,TX
"Parker County, TX",48367.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Parker County,TX
"Smith County, TX",48423.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Smith County,TX
"Tarrant County, TX",48439.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,115.0,Tarrant County,TX
"Tarrant County, TX",48439.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,Tarrant County,TX
"Taylor County, TX",48441.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Taylor County,TX
"Tom Green County, TX",48451.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Tom Green County,TX
"Travis County, TX",48453.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,98.0,Travis County,TX
"Travis County, TX",48453.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,Travis County,TX
"Webb County, TX",48479.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,Webb County,TX
"Wichita County, TX",48485.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Wichita County,TX
"Williamson County, TX",48491.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,Williamson County,TX
"Benton County, WA",53005.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,Benton County,WA
"Chelan County, WA",53007.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Chelan County,WA
"Clallam County, WA",53009.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Clallam County,WA
"Clark County, WA",53011.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,37.0,Clark County,WA
"Clark County, WA",53011.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Clark County,WA
"Cowlitz County, WA",53015.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Cowlitz County,WA
"King County, WA",53033.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,191.0,King County,WA
"King County, WA",53033.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,47.0,King County,WA
"Kitsap County, WA",53035.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Kitsap County,WA
"Lewis County, WA",53041.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Lewis County,WA
"Pierce County, WA",53053.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,84.0,Pierce County,WA
"Pierce County, WA",53053.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,29.0,Pierce County,WA
"Skagit County, WA",53057.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Skagit County,WA
"Snohomish County, WA",53061.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,89.0,Snohomish County,WA
"Snohomish County, WA",53061.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,Snohomish County,WA
"Spokane County, WA",53063.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0,Spokane County,WA
"Spokane County, WA",53063.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,Spokane County,WA
"Thurston County, WA",53067.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Thurston County,WA
"Whatcom County, WA",53073.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Whatcom County,WA
"Yakima County, WA",53077.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,Yakima County,WA
"Brown County, WI",55009.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Brown County,WI
"Dane County, WI",55025.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,51.0,Dane County,WI
"Dodge County, WI",55027.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Dodge County,WI
"Fond du Lac County, WI",55039.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Fond du Lac County,WI
"Kenosha County, WI",55059.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,Kenosha County,WI
"La Crosse County, WI",55063.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0,La Crosse County,WI
"Milwaukee County, WI",55079.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,136.0,Milwaukee County,WI
"Milwaukee County, WI",55079.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,Milwaukee County,WI
"Milwaukee County, WI",55079.0,2010.0,2010.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0,Milwaukee County,WI
"Racine County, WI",55101.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Racine County,WI
"Rock County, WI",55105.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Rock County,WI
"Walworth County, WI",55127.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0,Walworth County,WI
"Waukesha County, WI",55133.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0,Waukesha County,WI
"Waukesha County, WI",55133.0,2010.0,2010.0,Drug poisonings (overdose) Suicide (X60-X64),D2,10.0,Waukesha County,WI
"Winnebago County, WI",55139.0,2010.0,2010.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Winnebago County,WI
"Cochise County, AZ",4003.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Cochise County,AZ
"Coconino County, AZ",4005.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0,Coconino County,AZ
"Gila County, AZ",4007.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Gila County,AZ
"Maricopa County, AZ",4013.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,525.0,Maricopa County,AZ
"Maricopa County, AZ",4013.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,91.0,Maricopa County,AZ
"Maricopa County, AZ",4013.0,2013.0,2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,89.0,Maricopa County,AZ
"Mohave County, AZ",4015.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,43.0,Mohave County,AZ
"Mohave County, AZ",4015.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,18.0,Mohave County,AZ
"Navajo County, AZ",4017.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Navajo County,AZ
"Pima County, AZ",4019.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,189.0,Pima County,AZ
"Pima County, AZ",4019.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,Pima County,AZ
"Pinal County, AZ",4021.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0,Pinal County,AZ
"Yavapai County, AZ",4025.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,39.0,Yavapai County,AZ
"Yavapai County, AZ",4025.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,13.0,Yavapai County,AZ
"Yavapai County, AZ",4025.0,2013.0,2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13.0,Yavapai County,AZ
"Yuma County, AZ",4027.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Yuma County,AZ
"Adams County, CO",8001.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,64.0,Adams County,CO
"Adams County, CO",8001.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,14.0,Adams County,CO
"Arapahoe County, CO",8005.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,71.0,Arapahoe County,CO
"Arapahoe County, CO",8005.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,26.0,Arapahoe County,CO
"Boulder County, CO",8013.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,Boulder County,CO
"Boulder County, CO",8013.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,Boulder County,CO
"Denver County, CO",8031.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0,Denver County,CO
"Denver County, CO",8031.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,25.0,Denver County,CO
"Douglas County, CO",8035.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Douglas County,CO
"Douglas County, CO",8035.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,Douglas County,CO
"El Paso County, CO",8041.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0,El Paso County,CO
"El Paso County, CO",8041.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,25.0,El Paso County,CO
"Jefferson County, CO",8059.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,58.0,Jefferson County,CO
"Jefferson County, CO",8059.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,Jefferson County,CO
"Larimer County, CO",8069.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0,Larimer County,CO
"Larimer County, CO",8069.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,16.0,Larimer County,CO
"Mesa County, CO",8077.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Mesa County,CO
"Pueblo County, CO",8101.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,Pueblo County,CO
"Weld County, CO",8123.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0,Weld County,CO
"Alachua County, FL",12001.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0,Alachua County,FL
"Bay County, FL",12005.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Bay County,FL
"Brevard County, FL",12009.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0,Brevard County,FL
"Brevard County, FL",12009.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,24.0,Brevard County,FL
"Broward County, FL",12011.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,155.0,Broward County,FL
"Broward County, FL",12011.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,34.0,Broward County,FL
"Broward County, FL",12011.0,2013.0,2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,Broward County,FL
"Citrus County, FL",12017.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0,Citrus County,FL
"Clay County, FL",12019.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0,Clay County,FL
"Collier County, FL",12021.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0,Collier County,FL
"Columbia County, FL",12023.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Columbia County,FL
"Duval County, FL",12031.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,127.0,Duval County,FL
"Duval County, FL",12031.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,15.0,Duval County,FL
"Escambia County, FL",12033.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Escambia County,FL
"Hernando County, FL",12053.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,38.0,Hernando County,FL
"Highlands County, FL",12055.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Highlands County,FL
"Hillsborough County, FL",12057.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,135.0,Hillsborough County,FL
"Hillsborough County, FL",12057.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,28.0,Hillsborough County,FL
"Indian River County, FL",12061.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Indian River County,FL
"Lake County, FL",12069.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Lake County,FL
"Lee County, FL",12071.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,49.0,Lee County,FL
"Lee County, FL",12071.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,11.0,Lee County,FL
"Leon County, FL",12073.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Leon County,FL
"Manatee County, FL",12081.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0,Manatee County,FL
"Manatee County, FL",12081.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,19.0,Manatee County,FL
"Marion County, FL",12083.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,Marion County,FL
"Martin County, FL",12085.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0,Martin County,FL
"Miami-Dade County, FL",12086.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,90.0,Miami-Dade County,FL
"Miami-Dade County, FL",12086.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,Miami-Dade County,FL
"Nassau County, FL",12089.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Nassau County,FL
"Orange County, FL",12095.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,105.0,Orange County,FL
"Orange County, FL",12095.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,Orange County,FL
"Osceola County, FL",12097.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0,Osceola County,FL
"Palm Beach County, FL",12099.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,190.0,Palm Beach County,FL
"Palm Beach County, FL",12099.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,43.0,Palm Beach County,FL
"Pasco County, FL",12101.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0,Pasco County,FL
"Pasco County, FL",12101.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,17.0,Pasco County,FL
"Pinellas County, FL",12103.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,150.0,Pinellas County,FL
"Pinellas County, FL",12103.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,26.0,Pinellas County,FL
"Polk County, FL",12105.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,88.0,Polk County,FL
"St. Johns County, FL",12109.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,St. Johns County,FL
"St. Lucie County, FL",12111.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0,St. Lucie County,FL
"Santa Rosa County, FL",12113.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0,Santa Rosa County,FL
"Sarasota County, FL",12115.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0,Sarasota County,FL
"Sarasota County, FL",12115.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,20.0,Sarasota County,FL
"Seminole County, FL",12117.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0,Seminole County,FL
"Volusia County, FL",12127.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,79.0,Volusia County,FL
"Volusia County, FL",12127.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,21.0,Volusia County,FL
"Hawaii County, HI",15001.0,2013.0,2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0,Hawaii County,HI
"Honolulu County, HI",15003.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0,Honolulu County,HI
"Honolulu County, HI",15003.0,2013.0,2013.0,Drug poisonings (overdose) Suicide (X60-X64),D2,12.0,Honolulu County,HI
"Maui County, HI",15009.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0,Maui County,HI
"Ascension Parish, LA",22005.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Ascension Parish,LA
"Bossier Parish, LA",22015.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0,Bossier Parish,LA
"Caddo Parish, LA",22017.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0,Caddo Parish,LA
"Calcasieu Parish, LA",22019.0,2013.0,2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,19.0,Calcasieu Parish,LA
"East Baton Rouge Parish, LA",22033.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0,East Baton Rouge Parish,LA
"Iberia Parish, LA",22045.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0,Iberia Parish,LA
"Jefferson Parish, LA",22051.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,118.0,Jefferson Parish,LA
"Lafayette Parish, LA",22055.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0,Lafayette Parish,LA
"Lafourche Parish, LA",22057.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Lafourche Parish,LA
"Livingston Parish, LA",22063.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0,Livingston Parish,LA
"Orleans Parish, LA",22071.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,113.0,Orleans Parish,LA
"Ouachita Parish, LA",22073.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0,Ouachita Parish,LA
"Rapides Parish, LA",22079.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,Rapides Parish,LA
"St. Bernard Parish, LA",22087.0,2013.0,2013.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0,St. Bernard Parish,LA
"St. Charles Parish, LA",22089.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0,St. Charles Parish,LA
"St. Tammany Parish, LA",22103.0,2013.0,2013.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,66.0,St. Tammany Parish,LA
